DATETIME,LOAD,ACT_HEAT_INDEX,ACT_HUMIDITY,ACT_RAIN,ACT_TEMP,COOL_FACTOR,hour,is_peak,forecast,forecast_adj,penalty,penalty_adj,deviation
2021-05-13 05:00:00,1170.67782,35.57627778,77.59,0,29.5,2.5,5,0,1165.27527792,1165.27527792,21.61016832000041,21.61016832000041,5.402542080000103
2021-05-13 05:15:00,1173.177376,35.45350193,77.77,0,29.44,2.44,5,0,1165.64547244,1165.64547244,30.127614240000185,30.127614240000185,7.531903560000046
2021-05-13 05:30:00,1170.54676,35.14467953,77.86,0,29.32,2.32,5,0,1170.09486604,1170.09486604,1.8075758400000268,1.8075758400000268,0.4518939600000067
2021-05-13 05:45:00,1162.685032,35.23741052,77.67,0,29.37,2.37,5,0,1165.3377008400005,1165.3377008400005,5.305337680000321,5.305337680000321,2.6526688400003877
2021-05-13 06:00:00,1146.683932,35.41068868,77.59,0,29.44,2.44,6,0,1153.7732875999998,1153.7732875999998,14.178711199999723,14.178711199999723,7.0893555999998625
2021-05-13 06:15:00,1121.644128,35.33959652,77.29,0,29.44,2.44,6,0,1127.62819116,1127.62819116,11.96812632000001,11.96812632000001,5.984063160000005
2021-05-13 06:30:00,1104.97554,35.04804465,77.44,0,29.32,2.32,6,0,1110.65037512,1110.65037512,11.34967024000025,11.34967024000025,5.674835120000125
2021-05-13 06:45:00,1094.571992,34.88801289,78.05,0,29.21,2.21,6,0,1090.25674012,1090.25674012,17.26100751999911,17.26100751999911,4.315251880000005
2021-05-13 07:00:00,1088.604824,34.72353827,78.41,0,29.12,2.12,7,0,1111.3421449199998,1111.3421449199998,45.47464183999955,45.47464183999955,22.737320919999775
2021-05-13 07:15:00,1094.560656,35.13625126,78.3,0,29.28,2.28,7,0,1102.15985748,1102.15985748,15.19840295999984,15.19840295999984,7.59920147999992
2021-05-13 07:30:00,1099.366576,35.8479837,77.79,0,29.58,2.58,7,0,1113.1753856399998,1113.1753856399998,27.61761927999987,27.61761927999987,13.808809639999936
2021-05-13 07:45:00,1107.077276,37.64341774,76.18,0,30.36,3.36,7,0,1117.07294416,1117.07294416,19.99133631999985,19.99133631999985,9.995668159999923
2021-05-13 08:00:00,1119.210144,38.24636677,76.23,0,30.56,3.56,8,0,1137.61387856,1137.61387856,36.807469120000405,36.807469120000405,18.403734560000203
2021-05-13 08:15:00,1143.240572,37.70346024,76.99,0,30.3,3.3,8,0,1154.3015384800003,1154.3015384800003,22.12193296000123,22.12193296000123,11.060966480000388
2021-05-13 08:30:00,1166.79022,37.68224379,77.12,0,30.28,3.28,8,0,1178.3523794399996,1178.3523794399996,23.12431887999901,23.12431887999901,11.562159439999505
2021-05-13 08:45:00,1188.1071,40.08250346,75.08,0,31.29,4.29,8,0,1206.0029933999997,1206.0029933999997,35.7917867999995,35.7917867999995,17.89589339999975
2021-05-13 09:00:00,1206.048112,40.59525482,72.56,0,31.75,4.75,9,0,1232.2972060799998,1232.2972060799998,52.4981881599997,52.4981881599997,26.24909407999985
2021-05-13 09:15:00,1225.5691,41.19573789,70.83,0,32.16,5.16,9,0,1252.670376,1252.670376,54.2025520000002,54.2025520000002,27.101276000000098
2021-05-13 09:30:00,1247.9438,41.27144224,68.99,0,32.42,5.42,9,0,1273.7325114,1273.7325114,51.57742280000002,51.57742280000002,25.78871140000001
2021-05-13 09:45:00,1266.477484,41.25338322,67.57,0,32.6,5.6,9,0,1292.8875853200002,1292.8875853200002,52.82020264000039,52.82020264000039,26.410101320000194
2021-05-13 10:00:00,1283.335852,41.27371769,66.13,0,32.8,5.8,10,0,1287.03805144,1287.03805144,7.404398879999917,7.404398879999917,3.7021994399999585
2021-05-13 10:15:00,1298.873772,42.59786502,63.76,0,33.59,6.59,10,0,1311.30772324,1311.30772324,24.86790248000034,24.86790248000034,12.43395124000017
2021-05-13 10:30:00,1310.242752,42.63140158,64.6,0,33.48,6.48,10,0,1324.1431670000006,1324.1431670000006,27.80083000000104,27.80083000000104,13.900415000000521
